"Azerbaijan","Australia","Armenia","Brazil","Belarus","Chile","Taiwan ROC","Colombia","Cyprus","Ecuador","Estonia","Georgia","Germany","Ghana","Haiti","Hong Kong SAR","India","Japan","Kazakhstan","South Korea","Kyrgyzstan","Libya","Malaysia","Mexico","Netherlands","Nigeria","Pakistan","Peru","Philippines","Poland","Romania","Russia","Rwanda","Slovenia","South Africa","Zimbabwe","Spain","Sweden","Thailand","Trinidad and Tobago","Turkey","Ukraine","United States","Uruguay","Uzbekistan","Yemen","Variables"
"2.211896","2.782063","2.961806","3.228814","2.575455","2.913295","2.926683","3.157834","2.580000","2.928305","2.672857","2.904412","2.579882","2.432345","3.132537","2.568456","2.261442","2.890351","2.228000","2.915966","2.464959","3.237216","2.240526","3.068308","2.669967","2.729960","3.042959","3.353503","2.371327","3.072368","3.179104","2.925217","2.255082","3.269231","2.541956","2.594000","2.731313","2.249570","2.545573","2.831461","2.468884","3.124708","3.005402","2.642105","1.401146","3.305556","V117"
"2.266419","2.571300","2.833333","2.649718","2.301818","2.815029","2.402644","3.067972","2.487273","3.095903","2.255714","2.607843","2.441251","2.181701","3.493134","2.347207","2.275862","2.605263","2.200667","2.563025","2.351922","2.565341","2.100541","3.152000","2.684818","2.326322","2.749403","3.297771","2.235085","2.865132","2.953731","2.652174","2.293770","3.149321","2.544738","2.448000","2.765657","2.363167","2.320312","2.696629","2.399142","2.676539","2.542017","3.010526","1.438395","3.000000","V118"
"2.174721","1.994619","2.385417","2.104520","2.084545","2.338150","2.094952","1.902074","2.003636","2.102421","1.730000","2.450980","1.971260","1.688144","2.789254","1.935378","1.786207","2.285088","2.274667","2.279178","2.343632","2.318182","1.959783","1.872615","2.120462","2.075043","2.336516","2.238854","1.943010","2.184211","2.188060","2.460870","2.332459","2.343891","2.321743","1.847333","2.076768","1.867470","1.800781","2.059925","2.181330","2.333593","2.291717","1.964912","1.464183","2.379630","V119"
"2.442379","2.504036","2.652778","2.447740","2.438182","2.791908","2.213942","2.199309","2.325455","2.454376","2.388571","2.796569","2.913779","1.987113","3.062687","2.385542","2.312226","2.460526","2.408667","2.459384","2.418237","2.534091","2.163960","2.398154","2.661716","2.204662","2.559666","2.691083","2.244880","2.588816","2.559701","2.761739","2.455738","2.712670","2.441354","2.068000","2.884848","2.449225","2.330729","2.617978","2.536481","2.734996","2.734694","2.512281","1.782235","2.842593","V120"
"2.345725","2.664574","2.333333","2.583333","2.496364","2.676301","2.086538","2.461982","2.214545","2.565177","2.250000","2.987745","2.991547","1.845361","2.886567","2.066813","1.604389","2.333333","2.459333","2.146592","2.186134","2.153409","1.969838","2.568615","2.947195","2.056850","2.262530","2.664013","1.983972","2.565789","2.662687","2.740870","2.240656","2.631222","2.343069","2.097333","3.212121","2.426850","1.809896","2.486891","2.755365","2.899454","2.671068","2.445614","1.644699","2.740741","V121"
"2.599752","2.390135","2.475694","2.312147","2.267273","2.274566","2.096154","1.928571","2.152727","2.453445","2.175714","2.519608","2.287405","2.101160","2.801194","2.125958","2.118495","2.614035","2.426667","2.282913","2.437076","2.519886","2.090487","2.096000","2.579208","2.392268","2.766110","2.383758","1.890472","2.411184","2.482090","2.551304","2.493115","2.447964","2.455262","2.176000","2.434343","2.172117","2.184896","2.449438","2.449571","2.484801","2.540816","2.073684","1.604585","2.592593","V122"
"2.535316","2.278027","2.524306","2.289548","2.392727","2.251445","2.028846","1.922811","2.174545","2.411546","2.260000","2.473039","2.226543","2.052191","3.056716","2.211391","2.048276","2.741228","2.397333","2.371615","2.408440","2.686080","2.106729","2.077538","2.561056","2.363275","2.729117","2.339172","1.799644","2.381579","2.474627","2.613913","2.377049","2.500000","2.405656","2.186000","2.551515","2.256454","2.132812","2.400749","2.333691","2.494934","2.471188","1.996491","1.538682","2.453704","V123"
"2.631970","2.115695","2.326389","2.334746","2.288182","2.239884","2.016827","1.934332","2.149091","2.503724","2.141429","2.362745","2.123415","1.948454","3.185672","2.200438","2.202508","2.776316","2.391333","2.249300","2.289375","2.186080","2.092807","2.233231","2.567657","2.286526","2.718377","2.410828","1.873553","2.194079","2.523881","2.539130","2.374426","2.669683","2.448308","1.934667","2.319192","2.481928","2.287760","2.329588","2.431330","2.462198","2.293517","1.975439","1.736390","2.157407","V124"
"2.965304","3.227803","2.243056","2.204802","2.570000","2.632948","2.114183","2.400922","2.616364","2.135940","2.851429","2.365196","3.278952","3.325387","3.491343","2.809419","2.205643","2.824561","2.198667","2.535014","1.822155","2.815341","2.513534","2.433846","2.978548","2.642979","2.601432","2.386943","2.433660","3.042763","1.961194","2.201739","3.119344","3.072398","2.242466","3.338000","2.565657","3.185886","2.934896","3.329588","2.414163","2.077163","3.083433","2.733333","2.412607","2.527778","V127"
"2.319703","2.667265","2.597222","1.961864","2.350909","2.361272","2.262019","2.217742","2.432727","2.571695","2.261429","2.669118","2.454776","2.554124","2.767164","2.562979","2.055172","2.565789","2.506000","2.462185","2.466466","2.174716","2.332560","2.235692","2.466997","2.108584","1.982100","2.273885","2.449688","2.069079","1.761194","2.280000","2.602623","1.986425","2.154381","2.379333","2.484848","2.838210","2.882812","2.895131","2.328326","2.317225","2.635654","2.607018","2.257880","2.009259","V128"
