"","iso3","ln_y","growth","hc","gvmnt_c","gcf","ext_bal","trade","inflation","fem_emp","tot_emp","inf_mort","lexp","tfr","age_dep_old","age_dep_young","urban","yrsoffc","military","competitiveness_leg","competitiveness_exec","parliamentary","presidential","voice","stability","effectiveness","regulation","law","corruption"
"58","KGZ",-0.936547841177255,0.0202278293105865,0.592467208731704,0.495664069053951,-0.52737744306011,-0.0256519612166437,0.165118666914629,-0.217264501521861,0.157003317010973,-0.105138504567105,-0.0158912310375158,0.0942262283761977,-0.464357349911612,-0.324072978459465,-0.0338121896533353,-0.84050297390456,0.773534037465058,-0.436617107406757,0.0800449456709208,0.0832123313302047,-0.758212912660786,0.912322935244589,-1.14236765811565,-0.785385845897696,-0.855585636757073,-0.40508600104046,-0.854836390576359,-0.937615221539056
"59","KOR",1.10886324591817,0.0261428287001699,1.45748866333676,-0.67121242286359,1.20093806503499,0.337579623497041,-0.320763353028355,-0.212445096405601,0.218476348773848,0.194278459443603,-0.949472289190018,0.933467911689269,-1.22580050742007,-0.0244265758646103,-1.16160456076864,1.06530220750128,-0.219020275747062,-0.436617107406757,0.0800449456709208,0.0832123313302047,-0.758212912660786,0.912322935244589,0.643185081635857,0.178716250370954,0.680931963126142,0.644506071715708,0.820085143109669,0.29918903468416
"60","LKA",-0.287501387460064,0.0482792087813084,1.22251929928049,-0.566107796870375,0.109287980594372,-0.215656330973471,0.0245701503345083,-0.171694279378218,-0.84500717107419,-0.58233403441374,-0.731827625326245,0.523507726392882,-0.605914998383949,-0.276397040334497,-0.719781452514557,-1.55520109066277,0.348153617517007,-0.436617107406757,0.0800449456709208,0.0832123313302047,-0.758212912660786,0.912322935244589,-0.235799819222647,-0.853128169956771,-0.256769323408126,-0.0412257607906154,0.22873492589686,-0.359533632671948
"61","LSO",-1.07316927506404,0.0317587860529253,-0.554785694409479,3.76850417077996,1.37347176352587,-5.12279631993763,2.87484126010695,-0.165100054675989,-0.359370243597577,-0.891107633545854,1.361570391574,-2.17059404357177,0.309643340929073,-0.456584924018101,0.763895346327574,-1.46292597088934,-0.360813749063079,-0.436617107406757,0.0651590446080016,0.0683245020826281,1.31300284875404,-1.09120978529255,-0.0945042573667405,-0.178877844412178,-0.304416109562128,-0.722702193611931,-0.0992517564622267,-0.302714469341506
"62","LUX",1.96058322417091,0.0252064829144748,0.902873685922807,-0.00961882448787138,-0.153990374036703,1.91920184475613,3.94317199279328,-0.219242650770627,-0.248718833324607,-0.470052628293138,-1.01247469188743,1.04177228534587,-0.960950713504086,1.47634200185265,-1.15187774163942,1.27703951767436,0.0645666708849722,-0.436617107406757,0.0800449456709208,0.0832123313302047,1.31300284875404,-1.09120978529255,1.33585541321428,1.59995827261779,1.80997194338876,1.85149241571752,1.76346819655981,1.78188260771149
"63","MAR",-0.304399042953505,0.0192548548100348,-1.08152631778308,0.431190119110433,0.551293051481851,0.0882810179531394,-0.27257014025791,-0.221532914692413,-1.4290009728215,-1.16245433525959,0.00415498800256849,0.204670902750302,-0.435817501429286,-0.406405865707807,-0.184555451553933,-0.048817171167422,-0.502607222379097,-0.436617107406757,0.0800449456709208,0.0087731850923219,-0.758212912660786,0.912322935244589,-0.617823532724314,-0.34647057720979,-0.334070302722768,-0.417980889094734,-0.106704042930169,-0.300295635432677
"64","MDA",-0.847807158354763,0.0612985989697582,0.774325788833155,0.784985716178216,-0.00193455416516417,-1.50644217353444,1.18424444099856,-0.180931711207952,0.384453346932806,-0.404555468577804,-0.494136742422387,0.0181435780076911,-1.02887555289202,0.398131293386651,-1.02948686025888,-0.403900640327674,-0.786194169011131,-0.436617107406757,0.0800449456709208,0.0832123313302047,-0.758212912660786,-1.09120978529255,-0.702837951395198,-0.259235653969791,-0.799092981541024,-0.692791372163897,-0.740215376384032,-1.01271012155535
"65","MEX",0.541476055419953,0.0173937490532349,0.329746568980084,-0.790434756109763,-0.220491428518241,0.134066603210751,-0.572221482140293,-0.200516029168244,-0.43928513798911,-0.0022137335678985,-0.557139145119795,0.73217415297127,-0.37930860143428,-0.46347563175251,-0.054613835895757,0.856359829822486,-0.644400695695114,-0.436617107406757,0.0800449456709208,0.0832123313302047,-0.758212912660786,0.912322935244589,0.233683666320824,-0.091496480337751,0.0515863004363225,0.263027510367261,-0.450154870648332,-0.3225841411539
"66","MLI",-1.39111842840494,0.0171540330335845,-1.96908494551152,0.125113556765747,-0.678510375245051,0.170895996567509,-0.317178410045049,-0.243800122586411,-0.80812332856636,-0.99403240454506,2.00591314643385,-1.6368832179949,2.02488823471687,-0.784498218441504,1.52180133852454,-1.07294819301257,0.489947090833024,-0.436617107406757,0.0651590446080016,0.0757684167064164,-0.758212912660786,0.912322935244589,0.194083844228405,0.299521303219623,-0.790312846250182,-0.749391442254793,-0.41638845952039,-0.629532372005817
"67","MLT",1.06019844174245,0.0161330515102844,0.878013512291206,0.682011768766023,-1.04693529572565,0.503475580994166,1.86009155708982,-0.213789885070797,-0.992542423854984,-0.947248515072537,-0.926562324572779,1.11608502657778,-1.06369416804046,1.07549041707308,-1.11138524257795,1.59913431390964,-0.077226802431045,-0.436617107406757,0.0800449456709208,0.0832123313302047,1.31300284875404,-1.09120978529255,1.11873723064359,1.56192498513001,0.854397681701333,0.92265309788743,1.34301807649742,0.590744328658862
"68","MNG",-0.640644315804801,0.0942609709463507,0.304275546783871,0.046402244598685,0.38455493794318,-0.944847682573148,0.924795213215619,-0.197037088845101,0.458221031948454,-0.0583546150945815,0.107249828780145,-0.31574802242326,-0.703521280193505,-0.840311487959562,-0.21625713165261,0.176217242084525,-0.219020275747062,-0.436617107406757,0.0651590446080016,0.0832123313302047,-0.758212912660786,0.912322935244589,0.270127860376093,1.13939872741925,-0.390745503818,-0.34165758296553,0.0188144908574234,-0.148344465584374
"69","MOZ",-1.81760645356516,0.0555048024379455,-2.05838055638894,0.182067879090346,1.41703380923204,-1.94868807679139,0.111664558252293,-0.175679071429122,1.30040161400004,0.821182292829224,1.86845335873042,-1.70034676785705,1.41584786810403,-0.801007819683003,1.31872650927229,-1.08772745726265,1.34070793072913,-0.436617107406757,0.0800449456709208,0.0832123313302047,-0.758212912660786,0.912322935244589,-0.314820924929099,0.134121054537101,-0.549097063643031,-0.583777758184277,-0.746295340825454,-0.550381685151789
"70","MRT",-0.853857412384051,0.0605581389834853,-1.227067080267,1.81137967861261,-0.918692997738256,-0.728271256401426,-0.097708929156488,-0.189658172690899,-1.71177694238082,-2.13555937906119,1.06374085154989,-0.665353134036468,1.1258830075236,-0.845004430711651,0.914449482714872,-0.182550456272738,1.62429487736116,2.28011156090195,0.0651590446080016,0.0683245020826281,-0.758212912660786,0.912322935244589,-0.963917316228652,0.298677261033848,-0.219770025601314,0.0951745652460341,-0.562238273448469,0.0799488463412416
"71","MUS",0.617409403381247,0.00415467526648053,-0.0811537899177895,-0.353495202288617,0.0540835269825595,0.443709678304139,0.969280498739634,-0.199438989622305,-0.56223120151486,-0.208062918633549,-0.703190169554696,0.465086659382141,-0.784003652913664,-0.327520689083982,-0.793993212000812,-0.545976375453809,-0.644400695695114,-0.436617107406757,0.0651590446080016,0.0832123313302047,1.31300284875404,-1.09120978529255,0.725283113209949,1.07228501117128,0.208669256361438,0.366631838554429,0.915696053568938,0.38594178673348
"72","MWI",-1.75634000007252,0.0488741260254104,-1.18702634922053,-0.388610502486414,-0.717857730524499,-0.688376306138954,-0.431674262887802,0.062752174071041,1.60161956343853,1.59779514361932,1.43316403100287,-2.12199538620651,1.61220202566244,-0.831124032608779,1.5635879759799,-1.70900707277249,0.206360144200989,-0.436617107406757,0.0800449456709208,0.0832123313302047,-0.758212912660786,0.912322935244589,-0.754555580043657,-0.0723890572146085,-0.935529936590659,-0.802665855271861,-0.566990232304396,-1.07212512918727
"73","MYS",0.619731843154042,0.0419480797905341,0.778980050141211,-0.523100571133058,0.402145500875834,1.42593354634777,2.65001686133792,-0.212127984507719,-0.131919979174736,0.231705713794721,-0.89219737764692,0.584073782622146,-0.438671486277518,-0.721478506929923,-0.146291968872064,0.368982889266095,2.04967529730921,-0.436617107406757,0.0800449456709208,0.0832123313302047,1.31300284875404,-1.09120978529255,-0.578392907882749,0.473844527064031,0.786097620414709,0.339981259193656,0.400877191031606,0.0584793482536146
"74","NAM",-0.0660311363396849,0.028935259898527,-0.521333165444415,1.01191113464488,-0.408767712432813,0.090961559536126,0.403191003557486,-0.176742775161106,-0.242571389447713,-0.928534887896972,0.28480205456375,-1.25158689233577,0.302793777293315,-0.830538735693969,0.64456194233784,-0.905252243355488,0.773534037465058,-0.436617107406757,0.0800449456709208,0.0683245020826281,-0.758212912660786,0.912322935244589,0.154978750304453,0.103226075973384,-0.0722515527573011,0.308898765085939,0.167026525126492,-0.177960014191437
"75","NER",-1.68950073995506,-0.00649193325439581,-1.97169932780631,-0.653137009567752,-0.971423066099904,-0.496761995677123,-0.699789710432069,-0.212736500054488,-0.45157979124189,0.28784623838865,1.58494254659208,-1.45186090208102,2.51805681649147,-0.962081841809624,1.78329599374199,-1.64214043021983,-0.502607222379097,2.28011156090195,0.0800449456709208,0.0832123313302047,-0.758212912660786,0.912322935244589,-0.370752564417918,-0.248856383340385,-1.07235245307715,-1.0286727893265,-0.872761466439879,-1.12586664331115
"76","NLD",1.47945247867645,0.0104508488039681,1.27813666872458,1.1154492559426,-0.0573984710284403,0.703094864200532,0.843551355667117,-0.209804190871796,0.525841507588222,0.484338431400152,-0.969518508230103,1.07318524220731,-0.903871016539434,1.32096920723815,-1.19673960875358,1.01507811752823,0.206360144200989,-0.436617107406757,0.0800449456709208,0.0832123313302047,1.31300284875404,-1.09120978529255,1.47662889141948,1.24062840095878,1.78763368410769,1.81452458204049,1.59818604505177,1.88348784238148
"77","NOR",1.55134666517355,0.0367309135664434,1.63505643496103,1.04066570368992,-0.156307483068768,1.14189071962744,-0.1608461593649,-0.234586587768589,0.845501085154368,0.577906210345199,-1.00674720073312,1.13999638180067,-0.892455077146504,1.71845659826828,-1.05422085914693,0.925555582787048,-0.786194169011131,-0.436617107406757,0.0800449456709208,0.0832123313302047,1.31300284875404,-1.09120978529255,1.48546203065571,1.55027722720648,1.68782895892716,1.11675629319182,1.74635702590623,1.91892413648287
